file: berlin52.txt
alpha: 3, beta: 18, evaporation_rate: 0.1,  best_distance: 8613.435271043465, time: 4.966680288314819

alpha: 3, beta: 19, evaporation_rate: 0.1,  best_distance: 8674.178978028429, time: 5.152215480804443
alpha: 3, beta: 19, evaporation_rate: 0.1,  best_distance: 8656.855348966761, time: 5.044483184814453
alpha: 3, beta: 19, evaporation_rate: 0.1,  best_distance: 8164.079848846085, time: 5.256106376647949

alpha: 3, beta: 20, evaporation_rate: 0.1,  best_distance: 8607.909877608445, time: 5.205970764160156
alpha: 3, beta: 20, evaporation_rate: 0.1,  best_distance: 8659.999565954708, time: 5.019278526306152
alpha: 3, beta: 20, evaporation_rate: 0.1,  best_distance: 8581.92062328747, time: 5.7851197719573975

alpha: 4, beta: 1, evaporation_rate: 0.1,  best_distance: 9302.19877163461, time: 5.523496150970459
alpha: 4, beta: 1, evaporation_rate: 0.1,  best_distance: 8894.220417649594, time: 4.985185861587524
alpha: 4, beta: 1, evaporation_rate: 0.1,  best_distance: 9737.157873780034, time: 5.04918360710144

alpha: 4, beta: 2, evaporation_rate: 0.1,  best_distance: 8632.479472547551, time: 5.369691848754883
alpha: 4, beta: 2, evaporation_rate: 0.1,  best_distance: 8647.909846476085, time: 5.145426988601685
alpha: 4, beta: 2, evaporation_rate: 0.1,  best_distance: 8743.186296220296, time: 5.254120349884033

alpha: 4, beta: 3, evaporation_rate: 0.1,  best_distance: 8572.664946306531, time: 5.356558322906494
alpha: 4, beta: 3, evaporation_rate: 0.1,  best_distance: 8696.557779795065, time: 5.169954776763916
alpha: 4, beta: 3, evaporation_rate: 0.1,  best_distance: 8601.13229318519, time: 5.180608749389648

alpha: 4, beta: 4, evaporation_rate: 0.1,  best_distance: 8536.286286465878, time: 5.3042778968811035
alpha: 4, beta: 4, evaporation_rate: 0.1,  best_distance: 8795.983604346902, time: 5.173896551132202
alpha: 4, beta: 4, evaporation_rate: 0.1,  best_distance: 8465.126467008877, time: 5.152606248855591

alpha: 4, beta: 5, evaporation_rate: 0.1,  best_distance: 8147.809876585401, time: 5.3231940269470215
alpha: 4, beta: 5, evaporation_rate: 0.1,  best_distance: 8242.715860871709, time: 5.168115854263306
alpha: 4, beta: 5, evaporation_rate: 0.1,  best_distance: 8610.413573816228, time: 5.15058159828186

alpha: 4, beta: 6, evaporation_rate: 0.1,  best_distance: 8365.865471198022, time: 5.3104567527771
alpha: 4, beta: 6, evaporation_rate: 0.1,  best_distance: 8341.511044558993, time: 5.244738340377808
alpha: 4, beta: 6, evaporation_rate: 0.1,  best_distance: 8136.112314347239, time: 5.140859842300415

alpha: 4, beta: 7, evaporation_rate: 0.1,  best_distance: 8219.821597550086, time: 5.306786060333252
alpha: 4, beta: 7, evaporation_rate: 0.1,  best_distance: 8451.244462847973, time: 5.159229755401611
alpha: 4, beta: 7, evaporation_rate: 0.1,  best_distance: 8174.17055140556, time: 5.177042484283447

alpha: 4, beta: 8, evaporation_rate: 0.1,  best_distance: 8588.414069959883, time: 5.339598655700684
alpha: 4, beta: 8, evaporation_rate: 0.1,  best_distance: 8372.955117080375, time: 6.446342468261719
alpha: 4, beta: 8, evaporation_rate: 0.1,  best_distance: 8166.8578437392025, time: 5.207830190658569

alpha: 4, beta: 9, evaporation_rate: 0.1,  best_distance: 8300.243141145924, time: 5.167928457260132
alpha: 4, beta: 9, evaporation_rate: 0.1,  best_distance: 8301.683562456672, time: 4.989071369171143
alpha: 4, beta: 9, evaporation_rate: 0.1,  best_distance: 8217.241540730236, time: 4.955244064331055

alpha: 4, beta: 10, evaporation_rate: 0.1,  best_distance: 8429.309661945459, time: 5.1497063636779785
alpha: 4, beta: 10, evaporation_rate: 0.1,  best_distance: 8398.678769119198, time: 5.005531072616577
alpha: 4, beta: 10, evaporation_rate: 0.1,  best_distance: 8188.402088185245, time: 5.002854824066162

alpha: 4, beta: 11, evaporation_rate: 0.1,  best_distance: 8458.32420134464, time: 5.140360593795776
alpha: 4, beta: 11, evaporation_rate: 0.1,  best_distance: 8191.21277742776, time: 5.056908369064331
